x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
9.797,17.4486,63.641,2,2,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,131
14.6594,26.1161,95.4002,2,3,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,132
19.5064,34.7922,127.1593,2,4,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,133
24.3378,43.477,158.9185,2,5,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,134
29.1536,52.1704,190.6776,2,6,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,135
33.954,60.8724,222.4368,2,7,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,136
38.7387,69.583,254.1959,2,8,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,137
43.5079,78.3021,285.9551,2,9,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,138
48.2614,87.0298,317.7142,2,10,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,139
0.5845,-9.8255,-26.5546,9,1,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,140
1.0188,-19.6574,-52.6413,9,2,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,141
1.4742,-29.6472,-79.1488,9,3,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,142
1.9363,-39.4778,-105.2356,9,4,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,143
2.4123,-49.3077,-131.3223,9,5,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,144
2.9021,-59.1369,-157.4091,9,6,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,145
3.414,-69.124,-183.9166,9,7,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,146
3.9317,-78.9518,-210.0033,9,8,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,147
4.4633,-88.7788,-236.0901,9,9,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,148
5.0087,-98.6052,-262.1768,9,10,T14,-1.5288,-1.7018,-1,81.2952,0.1643,-0.4679,149
-6.7277,7.1578,-13.1452,4,1,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,150
-13.5286,13.8622,-26.2177,4,2,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,151
-20.318,20.5782,-39.2901,4,3,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,152
-27.0958,27.3058,-52.3626,4,4,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,153
-34.05,34.2323,-65.7982,4,5,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,154
-40.9919,41.1711,-79.2338,4,6,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,155
-47.7346,47.934,-92.3063,4,7,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,156
-54.4656,54.7085,-105.3788,4,8,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,157
-61.185,61.4944,-118.4513,4,9,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,158
-68.079,68.4808,-131.8869,4,10,T15,2.366,-1.1198,1,64.9289,-0.3913,0.2904,159
8.3112,5.4416,51.4664,1,1,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,160
16.5784,10.795,102.6934,1,2,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,161
24.861,16.1248,153.9203,1,3,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,162
33.1588,21.4307,205.1473,1,4,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,163
41.5435,26.7583,256.8158,1,5,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,164
49.9436,32.0616,308.4844,1,6,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,165
58.2871,37.2955,359.7114,1,7,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,166
66.7897,42.5951,411.8215,1,8,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,167
75.1633,47.7807,463.0485,1,9,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,168
